Post #,Date Posted,Name,"Suggestion 
(Copy/Paste)",Is this an idea? (Y/N),"Original Post 
or Comment?","Link to Source 
(article etc.)",Permalink,# Likes,# Comments,"# Shares/
Retweets","Dialogue Creation
(Y/N)","Quotable 
(Y/N)","Primary 
Theme","Secondary 
Theme","Tertiary 
Theme","Final 
Theme",,,,,
33,,Scott Strawbridge,"Stop using CRA's as political slush funds and stop blaming the County for not participating. They give up millions in TIF funds every year to local CRA's. Follow the law: 163.360 Community redevelopment plans. (1) Community redevelopment in a community redevelopment area shall not be planned or initiated unless the governing body has, by resolution, determined such area to be a slum area, a blighted area, or an area in which there is a shortage of housing affordable to residents of low or moderate income, including the elderly, or a combination thereof, and designated such area as appropriate for community redevelopment. 
(2) The community redevelopment plan shall:
(c) Provide for the development of affordable housing in the area, or state the reasons for not addressing in the plan the development of affordable housing in the area. The county, municipality, or community redevelopment agency shall coordinate with each housing authority or other affordable housing entities functioning within the geographic boundaries of the redevelopment area, concerning the development of affordable housing in the area.",N,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507490776008376/,,,,,,CRAs,,,,,,,,
34,,Elyssa Linares,I was able to purchase my home after participating in the Southern Anchor Program - Rent to Save. This is a great program that many people do not know about. We need more programs like this to increase home ownership. Often times a mortgage is more affordable than rent.,N,OP,https://hfamiami.com/southern-anchor-program-rent-to-save/,https://www.facebook.com/groups/100greatideas/permalink/1507488599341927/,,,,Y,N,first time home buyer,,,,,,,,
35,,Justin Trieger,"I don't know enough about this subject to feign offering solutions, but I can certainly ask ignorant questions! Is there a way to curb speculation in the marketplace? Through regulation or otherwise?
It is damn depressing how many highrise apartment buildings in the urban core appear to have occupancy rates below 20%. So many units, so many dark windows at night - all while a majority of the people who live here cannot afford rent or buy a home. How can we curb the real estate market's overvaluation and ensure units are actually occupied, not just tax havens and places to stash foreign cash?",N,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507486789342108/,,,,,,,,,,,,,,
36,,LaTonda James,"#MDCLandlordRegistry.....this is an idea that I have to address one of many issues related to housing here in Miami Dade County. I would like to see a registry for landlords to allow perspective and current tenants to actually KNOW who it is that they are renting from. Additionally, I feel this would address the problems many renters have with sub-par, over-priced rentals that are owned by absentee owners. Miami Dade county can find a way to get money from and keep up with the lives of everyday citizens, it should not be rocket science to create a registry with an annual fee, which can be used to assist with paying staff, who would monitor these rentals to ensure our citizens are living in affordable, clean, and safe housing that correlates with the amount of money many residents are paying.",Y,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507484979342289/,,,,Y,Y,landlord registry,,,,,,,,
37,,Ana J Colls,"A decade ago The Knight Foundation spent $19 MILLION in Overtown ""to build affordable housing and promote community development; to help train residents and find them jobs; to increase personal savings; and to provide mentoring, after-school and recreational activities.""
They faced many challenges and had several failures, which are detailed in the report linked below. In the end, the report says ""it is reasonable to conclude that Overtown lacks the civic or entrepreneurial assets necessary for
broader transformation.""
What lessons can we learn from the successes and challenges of this ambitious project by our community's largest funder?",N,OP,https://knightfoundation.org/reports/knight-funding-miamis-overtown-big-bet-bigger-chal,https://www.facebook.com/groups/100greatideas/permalink/1507483009342486/,,,,,,,,,,,,,,
38,,Melissa Gallo,"Leverage as much private sector $ for the County's new Affordable Housing Trust Fund, whose board includes community organizations like Miami Homes For All and South Florida Community Development Coalition. Every deal the County cuts with a private developer, contractor, vendor -- a % should be required to go into this pot of dollars. If other government approvals are sought, condition it on a grant to this pot. For example, the Dream Mall zoning approvals process could be a potential place to push for some extra cash for the Trust Fund...",Y,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507471456010308/,,,,N,Y,funding,,,,,,,,
39,,Naomi Laurne Ross,"Are folks from Miami considering applying for this program on behalf of affordable housing...? Some basic details are copied below, and see the link for further info.
""Through the CDFI Bond Guarantee Program, selected certified CDFIs or their designees will issue bonds that are guaranteed by the Federal government and use the proceeds to extend capital for community development financing and long-term community investments. Authorized uses of the loans financed through bond proceeds may include a variety of financial activities, such ... housing that is principally affordable to low-income people ... and community or economic development in low-income and underserved rural areas. Bond issues have a minimum size of $100 million each, up to an aggregate total of $500 million. Multiple CDFIs may pool together in a single $100 million bond issuance provided that each eligible CDFI participates at a minimum of $10 million.""",Y,OP,https://www.learncra.com/cdfi-fund-application-period-for-fy-2018-cdfi-bond-guarantee-program-opens/?utm_source=CRA+Monday+Briefing&utm_campaign=148ec5927a-CRA+Monday+Briefing+%7C+10.30.17&utm_medium=email&utm_term=0_c638f12245-148ec5927a-397679149,https://www.facebook.com/groups/100greatideas/permalink/1507468942677226/,,,,,,funding,,,,,,,,
40,,United Way,"What does it cost to afford basic necessities? The bare-minimum survival budget for a family of four in Miami was $56,760 in 2015. The reality is there is a huge gap in Miami's medium household income vs. Miami's household survival budget, and it's only getting wider.",N,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507462789344508/,,,,,,,,,,,,,,
41,,Miles Varghese,"Require new luxury construction to build/subsidize or outright build a new minimalist/affordable housing towers (e.g. WeLive). The Stanford & Hecht Freshman dorm rooms at UMiami are a prime example of small housing units that can be used as a model. The living units should all be built to be modular/flexible to allow families to alter their ""rooms"" and optimize their space for living. (E.g. HK apartments, IKEA ""small home displays"". Secure agreements with similar furniture providers. There can be communal facilities and play areas to reduce cost. Couple that with affordable meals contracted to companies that also are capable of producing affordable meals at scale (etc. Chartwells).
Container homes, super tiny houses, and mobile homes could also be alternatives, esp if there are provided incentives/tax breaks to do so. Offer free/subsidized transportation (Uber or Lyft even) to qualified areas of Miami Dade.
So many things can be done.",Y,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507457276011726/,,,,,,,,,,,,,,
42,,Maria Cristina Chicuen,"Are micro-units a solution to affordable housing for single-person households?
I was reading this article last week that discussed the possibility of changing the Miami 21 zoning plan to allow the minimum residential unit size to decrease from 400 square feet to 275 square feet. With this change, the rental price point for a studio apartment in Downtown Miami would hover over $822, approximately.
I can't help but think about the fact that even if these units would be more ""affordable,"" the individuals who are actually cost-burdened would not be first on the list to get their hands on these rentals.
How do we ensure that folks who need affordable housing get priority in new mixed-income developments? Especially in areas like Downtown that have better-than-average public transportation options.
Understanding that those who need affordable housing are usually cost-burdened by car ownership/maintenance, we need to consider both transit & housing affordability when brainstorming solutions.",Y,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507450749345712/,,,,,,,,,,,,,,
43,,Cindy Lerner,"Focus on finance , join the Sadowski Housing Coalition and demand funds designated for affordable housing only go to affordable housing. The fund has been raided for years. Stop the raid! This must be the highest priority for county legislative agenda. Demand the Dade Delegation exert its influence here.",Y,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507450559345731/,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
